Open Circuits miRNA_TF_mRNA 1


TF		miRNA		mRNA
AFF4	|------	miR-410-3p	------|	ZBTB20

AFF4	|------	miR-410-3p	------|	ZC3H7B

AFF4	|------	miR-410-3p	------|	ZCCHC11

AFF4	|------	miR-410-3p	------|	ZNF207

OTX2	|------	miR-410-3p	------|	ADM

OTX2	|------	miR-410-3p	------|	ARHGAP5

OTX2	|------	miR-410-3p	------|	BAZ2B

OTX2	|------	miR-410-3p	------|	BMPR1A

OTX2	|------	miR-410-3p	------|	BTG3

OTX2	|------	miR-410-3p	------|	C1orf21

OTX2	|------	miR-410-3p	------|	CALN1

OTX2	|------	miR-410-3p	------|	CDC42EP3

OTX2	|------	miR-410-3p	------|	CHIC2

OTX2	|------	miR-410-3p	------|	CNOT7

OTX2	|------	miR-410-3p	------|	COPS7B

OTX2	|------	miR-410-3p	------|	DCDC2

OTX2	|------	miR-410-3p	------|	DIAPH2

OTX2	|------	miR-410-3p	------|	DIXDC1

OTX2	|------	miR-410-3p	------|	DPYSL2

OTX2	|------	miR-410-3p	------|	FBXO3

OTX2	|------	miR-410-3p	------|	FBXO42

OTX2	|------	miR-410-3p	------|	FOSB

OTX2	|------	miR-410-3p	------|	FZD1

OTX2	|------	miR-410-3p	------|	GAB1

OTX2	|------	miR-410-3p	------|	GFPT1

OTX2	|------	miR-410-3p	------|	GLRA3

OTX2	|------	miR-410-3p	------|	GUCY1A3

OTX2	|------	miR-410-3p	------|	HLF

OTX2	|------	miR-410-3p	------|	HNRNPA3

OTX2	|------	miR-410-3p	------|	HS3ST1

OTX2	|------	miR-410-3p	------|	IFRD1

OTX2	|------	miR-410-3p	------|	IP6K1

OTX2	|------	miR-410-3p	------|	IRS1

OTX2	|------	miR-410-3p	------|	KIT

OTX2	|------	miR-410-3p	------|	KMT2D

OTX2	|------	miR-410-3p	------|	MPP7

OTX2	|------	miR-410-3p	------|	NFIB

OTX2	|------	miR-410-3p	------|	NUDT3

OTX2	|------	miR-410-3p	------|	PAPPA

OTX2	|------	miR-410-3p	------|	PBRM1

OTX2	|------	miR-410-3p	------|	PJA2

OTX2	|------	miR-410-3p	------|	PRRC2B

OTX2	|------	miR-410-3p	------|	RAI14

OTX2	|------	miR-410-3p	------|	RAPGEF2

OTX2	|------	miR-410-3p	------|	RASAL2

OTX2	|------	miR-410-3p	------|	RERE

OTX2	|------	miR-410-3p	------|	RNF150

OTX2	|------	miR-410-3p	------|	RRAGD

OTX2	|------	miR-410-3p	------|	RTN4RL1

OTX2	|------	miR-410-3p	------|	SAMD4A

OTX2	|------	miR-410-3p	------|	SAV1

OTX2	|------	miR-410-3p	------|	SCAMP5

OTX2	|------	miR-410-3p	------|	SLC34A2

OTX2	|------	miR-410-3p	------|	SNTB2

OTX2	|------	miR-410-3p	------|	SPRED1

OTX2	|------	miR-410-3p	------|	STARD13

OTX2	|------	miR-410-3p	------|	TEAD1

OTX2	|------	miR-410-3p	------|	TM4SF1

OTX2	|------	miR-410-3p	------|	TMEM132B

OTX2	|------	miR-410-3p	------|	TNFRSF10B

OTX2	|------	miR-410-3p	------|	TNRC18

OTX2	|------	miR-410-3p	------|	TNS1

OTX2	|------	miR-410-3p	------|	TSC22D1

OTX2	|------	miR-410-3p	------|	UBE2H

OTX2	|------	miR-410-3p	------|	ZBTB20

OTX2	|------	miR-410-3p	------|	ZC3H7B

OTX2	|------	miR-410-3p	------|	ZCCHC11

OTX2	|------	miR-410-3p	------|	ZNF207

SMAD2	|------	miR-410-3p	------|	ADM

SMAD2	|------	miR-410-3p	------|	ARHGAP5

SMAD2	|------	miR-410-3p	------|	BAZ2B

SMAD2	|------	miR-410-3p	------|	BMPR1A

SMAD2	|------	miR-410-3p	------|	BTG3

SMAD2	|------	miR-410-3p	------|	C1orf21

SMAD2	|------	miR-410-3p	------|	CALN1

SMAD2	|------	miR-410-3p	------|	CDC42EP3

SMAD2	|------	miR-410-3p	------|	CHIC2

SMAD2	|------	miR-410-3p	------|	CNOT7

SMAD2	|------	miR-410-3p	------|	COPS7B

SMAD2	|------	miR-410-3p	------|	DCDC2

SMAD2	|------	miR-410-3p	------|	DIAPH2

SMAD2	|------	miR-410-3p	------|	DIXDC1

SMAD2	|------	miR-410-3p	------|	DPYSL2

SMAD2	|------	miR-410-3p	------|	FBXO3

SMAD2	|------	miR-410-3p	------|	FBXO42

SMAD2	|------	miR-410-3p	------|	FOSB

SMAD2	|------	miR-410-3p	------|	FZD1

SMAD2	|------	miR-410-3p	------|	GAB1

SMAD2	|------	miR-410-3p	------|	GFPT1

SMAD2	|------	miR-410-3p	------|	GLRA3

SMAD2	|------	miR-410-3p	------|	GUCY1A3

SMAD2	|------	miR-410-3p	------|	HLF

SMAD2	|------	miR-410-3p	------|	HNRNPA3

SMAD2	|------	miR-410-3p	------|	HS3ST1

SMAD2	|------	miR-410-3p	------|	IFRD1

SMAD2	|------	miR-410-3p	------|	IP6K1

SMAD2	|------	miR-410-3p	------|	IRS1

SMAD2	|------	miR-410-3p	------|	KIT

SMAD2	|------	miR-410-3p	------|	KMT2D

SMAD2	|------	miR-410-3p	------|	MPP7

SMAD2	|------	miR-410-3p	------|	NFIB

SMAD2	|------	miR-410-3p	------|	NUDT3

SMAD2	|------	miR-410-3p	------|	PAPPA

SMAD2	|------	miR-410-3p	------|	PBRM1

SMAD2	|------	miR-410-3p	------|	PJA2

SMAD2	|------	miR-410-3p	------|	PRRC2B

SMAD2	|------	miR-410-3p	------|	RAI14

SMAD2	|------	miR-410-3p	------|	RAPGEF2

SMAD2	|------	miR-410-3p	------|	RASAL2

SMAD2	|------	miR-410-3p	------|	RERE

SMAD2	|------	miR-410-3p	------|	RNF150

SMAD2	|------	miR-410-3p	------|	RRAGD

SMAD2	|------	miR-410-3p	------|	RTN4RL1

SMAD2	|------	miR-410-3p	------|	SAMD4A

SMAD2	|------	miR-410-3p	------|	SAV1

SMAD2	|------	miR-410-3p	------|	SCAMP5

SMAD2	|------	miR-410-3p	------|	SLC34A2

SMAD2	|------	miR-410-3p	------|	SNTB2

SMAD2	|------	miR-410-3p	------|	SPRED1

SMAD2	|------	miR-410-3p	------|	STARD13

SMAD2	|------	miR-410-3p	------|	TEAD1

SMAD2	|------	miR-410-3p	------|	TM4SF1

SMAD2	|------	miR-410-3p	------|	TMEM132B

SMAD2	|------	miR-410-3p	------|	TNFRSF10B

SMAD2	|------	miR-410-3p	------|	TNRC18

SMAD2	|------	miR-410-3p	------|	TNS1

SMAD2	|------	miR-410-3p	------|	TSC22D1

SMAD2	|------	miR-410-3p	------|	UBE2H

SMAD2	|------	miR-410-3p	------|	ZBTB20

SMAD2	|------	miR-410-3p	------|	ZC3H7B

SMAD2	|------	miR-410-3p	------|	ZCCHC11

SMAD2	|------	miR-410-3p	------|	ZNF207

SP4	|------	miR-410-3p	------|	ADM

SP4	|------	miR-410-3p	------|	ARHGAP5

SP4	|------	miR-410-3p	------|	BAZ2B

SP4	|------	miR-410-3p	------|	BMPR1A

SP4	|------	miR-410-3p	------|	BTG3

SP4	|------	miR-410-3p	------|	C1orf21

SP4	|------	miR-410-3p	------|	CALN1

SP4	|------	miR-410-3p	------|	CDC42EP3

SP4	|------	miR-410-3p	------|	CHIC2

SP4	|------	miR-410-3p	------|	CNOT7

SP4	|------	miR-410-3p	------|	COPS7B

SP4	|------	miR-410-3p	------|	DCDC2

SP4	|------	miR-410-3p	------|	DIAPH2

SP4	|------	miR-410-3p	------|	DIXDC1

SP4	|------	miR-410-3p	------|	DPYSL2

SP4	|------	miR-410-3p	------|	FBXO3

SP4	|------	miR-410-3p	------|	FBXO42

SP4	|------	miR-410-3p	------|	FOSB

SP4	|------	miR-410-3p	------|	FZD1

SP4	|------	miR-410-3p	------|	GAB1

SP4	|------	miR-410-3p	------|	GFPT1

SP4	|------	miR-410-3p	------|	GLRA3

SP4	|------	miR-410-3p	------|	GUCY1A3

SP4	|------	miR-410-3p	------|	HLF

SP4	|------	miR-410-3p	------|	HNRNPA3

SP4	|------	miR-410-3p	------|	HS3ST1

SP4	|------	miR-410-3p	------|	IFRD1

SP4	|------	miR-410-3p	------|	IP6K1

SP4	|------	miR-410-3p	------|	IRS1

SP4	|------	miR-410-3p	------|	KIT

SP4	|------	miR-410-3p	------|	KMT2D

SP4	|------	miR-410-3p	------|	MPP7

SP4	|------	miR-410-3p	------|	NFIB

SP4	|------	miR-410-3p	------|	NUDT3

SP4	|------	miR-410-3p	------|	PAPPA

SP4	|------	miR-410-3p	------|	PBRM1

SP4	|------	miR-410-3p	------|	PJA2

SP4	|------	miR-410-3p	------|	PRRC2B

SP4	|------	miR-410-3p	------|	RAI14

SP4	|------	miR-410-3p	------|	RAPGEF2

SP4	|------	miR-410-3p	------|	RASAL2

SP4	|------	miR-410-3p	------|	RERE

SP4	|------	miR-410-3p	------|	RNF150

SP4	|------	miR-410-3p	------|	RRAGD

SP4	|------	miR-410-3p	------|	RTN4RL1

SP4	|------	miR-410-3p	------|	SAMD4A

SP4	|------	miR-410-3p	------|	SAV1

SP4	|------	miR-410-3p	------|	SCAMP5

SP4	|------	miR-410-3p	------|	SLC34A2

SP4	|------	miR-410-3p	------|	SNTB2

SP4	|------	miR-410-3p	------|	SPRED1

SP4	|------	miR-410-3p	------|	STARD13

SP4	|------	miR-410-3p	------|	TEAD1

SP4	|------	miR-410-3p	------|	TM4SF1

SP4	|------	miR-410-3p	------|	TMEM132B

SP4	|------	miR-410-3p	------|	TNFRSF10B

SP4	|------	miR-410-3p	------|	TNRC18

SP4	|------	miR-410-3p	------|	TNS1

SP4	|------	miR-410-3p	------|	TSC22D1

SP4	|------	miR-410-3p	------|	UBE2H

SP4	|------	miR-410-3p	------|	ZBTB20

SP4	|------	miR-410-3p	------|	ZC3H7B

SP4	|------	miR-410-3p	------|	ZCCHC11

SP4	|------	miR-410-3p	------|	ZNF207

ZKSCAN1	|------	miR-410-3p	------|	ADM

ZKSCAN1	|------	miR-410-3p	------|	ARHGAP5

ZKSCAN1	|------	miR-410-3p	------|	BAZ2B

ZKSCAN1	|------	miR-410-3p	------|	BMPR1A

ZKSCAN1	|------	miR-410-3p	------|	BTG3

ZKSCAN1	|------	miR-410-3p	------|	C1orf21

ZKSCAN1	|------	miR-410-3p	------|	CALN1

ZKSCAN1	|------	miR-410-3p	------|	CDC42EP3

ZKSCAN1	|------	miR-410-3p	------|	CHIC2

ZKSCAN1	|------	miR-410-3p	------|	CNOT7

ZKSCAN1	|------	miR-410-3p	------|	COPS7B

ZKSCAN1	|------	miR-410-3p	------|	DCDC2

ZKSCAN1	|------	miR-410-3p	------|	DIAPH2

ZKSCAN1	|------	miR-410-3p	------|	DIXDC1

ZKSCAN1	|------	miR-410-3p	------|	DPYSL2

ZKSCAN1	|------	miR-410-3p	------|	FBXO3

ZKSCAN1	|------	miR-410-3p	------|	FBXO42

ZKSCAN1	|------	miR-410-3p	------|	FOSB

ZKSCAN1	|------	miR-410-3p	------|	FZD1

ZKSCAN1	|------	miR-410-3p	------|	GAB1

ZKSCAN1	|------	miR-410-3p	------|	GFPT1

ZKSCAN1	|------	miR-410-3p	------|	GLRA3

ZKSCAN1	|------	miR-410-3p	------|	GUCY1A3

ZKSCAN1	|------	miR-410-3p	------|	HLF

ZKSCAN1	|------	miR-410-3p	------|	HNRNPA3

ZKSCAN1	|------	miR-410-3p	------|	HS3ST1

ZKSCAN1	|------	miR-410-3p	------|	IFRD1

ZKSCAN1	|------	miR-410-3p	------|	IP6K1

ZKSCAN1	|------	miR-410-3p	------|	IRS1

ZKSCAN1	|------	miR-410-3p	------|	KIT

ZKSCAN1	|------	miR-410-3p	------|	KMT2D

ZKSCAN1	|------	miR-410-3p	------|	MPP7

ZKSCAN1	|------	miR-410-3p	------|	NFIB

ZKSCAN1	|------	miR-410-3p	------|	NUDT3

ZKSCAN1	|------	miR-410-3p	------|	PAPPA

ZKSCAN1	|------	miR-410-3p	------|	PBRM1

ZKSCAN1	|------	miR-410-3p	------|	PJA2

ZKSCAN1	|------	miR-410-3p	------|	PRRC2B

ZKSCAN1	|------	miR-410-3p	------|	RAI14

ZKSCAN1	|------	miR-410-3p	------|	RAPGEF2

ZKSCAN1	|------	miR-410-3p	------|	RASAL2

ZKSCAN1	|------	miR-410-3p	------|	RERE

ZKSCAN1	|------	miR-410-3p	------|	RNF150

ZKSCAN1	|------	miR-410-3p	------|	RRAGD

ZKSCAN1	|------	miR-410-3p	------|	RTN4RL1

ZKSCAN1	|------	miR-410-3p	------|	SAMD4A

ZKSCAN1	|------	miR-410-3p	------|	SAV1

ZKSCAN1	|------	miR-410-3p	------|	SCAMP5

ZKSCAN1	|------	miR-410-3p	------|	SLC34A2

ZKSCAN1	|------	miR-410-3p	------|	SNTB2

ZKSCAN1	|------	miR-410-3p	------|	SPRED1

ZKSCAN1	|------	miR-410-3p	------|	STARD13

ZKSCAN1	|------	miR-410-3p	------|	TEAD1

ZKSCAN1	|------	miR-410-3p	------|	TM4SF1

ZKSCAN1	|------	miR-410-3p	------|	TMEM132B

ZKSCAN1	|------	miR-410-3p	------|	TNFRSF10B

ZKSCAN1	|------	miR-410-3p	------|	TNRC18

ZKSCAN1	|------	miR-410-3p	------|	TNS1

ZKSCAN1	|------	miR-410-3p	------|	TSC22D1

ZKSCAN1	|------	miR-410-3p	------|	UBE2H

ZKSCAN1	|------	miR-410-3p	------|	ZBTB20

ZKSCAN1	|------	miR-410-3p	------|	ZC3H7B

ZKSCAN1	|------	miR-410-3p	------|	ZCCHC11

ZKSCAN1	|------	miR-410-3p	------|	ZNF207

AFF4	|------	miR-142-5p	------|	ADAMTS1

AFF4	|------	miR-142-5p	------|	ADAMTS5

AFF4	|------	miR-142-5p	------|	ALCAM

AFF4	|------	miR-142-5p	------|	ARL6

AFF4	|------	miR-142-5p	------|	ARMCX4

AFF4	|------	miR-142-5p	------|	ARSJ

AFF4	|------	miR-142-5p	------|	ASXL2

AFF4	|------	miR-142-5p	------|	ATL3

AFF4	|------	miR-142-5p	------|	ATP1B1

AFF4	|------	miR-142-5p	------|	BBX

AFF4	|------	miR-142-5p	------|	BHLHE41

AFF4	|------	miR-142-5p	------|	BMPR1A

AFF4	|------	miR-142-5p	------|	BTG1

AFF4	|------	miR-142-5p	------|	BTG3

AFF4	|------	miR-142-5p	------|	CA8

AFF4	|------	miR-142-5p	------|	CADM1

AFF4	|------	miR-142-5p	------|	CADM2

AFF4	|------	miR-142-5p	------|	CALN1

AFF4	|------	miR-142-5p	------|	CASD1

AFF4	|------	miR-142-5p	------|	CCDC171

AFF4	|------	miR-142-5p	------|	CDC42EP3

AFF4	|------	miR-142-5p	------|	CHD9

AFF4	|------	miR-142-5p	------|	CRY2

AFF4	|------	miR-142-5p	------|	CXCL14

AFF4	|------	miR-142-5p	------|	CYP26B1

AFF4	|------	miR-142-5p	------|	DIAPH2

AFF4	|------	miR-142-5p	------|	DMD

AFF4	|------	miR-142-5p	------|	DSG4

AFF4	|------	miR-142-5p	------|	EFCAB14

AFF4	|------	miR-142-5p	------|	EFNA5

AFF4	|------	miR-142-5p	------|	EGR3

AFF4	|------	miR-142-5p	------|	FAM126A

AFF4	|------	miR-142-5p	------|	FAM171B

AFF4	|------	miR-142-5p	------|	FANCM

AFF4	|------	miR-142-5p	------|	FBXO21

AFF4	|------	miR-142-5p	------|	FBXO3

AFF4	|------	miR-142-5p	------|	FGD4

AFF4	|------	miR-142-5p	------|	FRZB

AFF4	|------	miR-142-5p	------|	FZD7

AFF4	|------	miR-142-5p	------|	HAS3

AFF4	|------	miR-142-5p	------|	HIPK2

AFF4	|------	miR-142-5p	------|	HMGCLL1

AFF4	|------	miR-142-5p	------|	IFFO2

AFF4	|------	miR-142-5p	------|	ITGB8

AFF4	|------	miR-142-5p	------|	KIT

AFF4	|------	miR-142-5p	------|	KMT2D

AFF4	|------	miR-142-5p	------|	LPP

AFF4	|------	miR-142-5p	------|	MEX3C

AFF4	|------	miR-142-5p	------|	MPPED2

AFF4	|------	miR-142-5p	------|	MYF5

AFF4	|------	miR-142-5p	------|	MYO9A

AFF4	|------	miR-142-5p	------|	NEDD4L

AFF4	|------	miR-142-5p	------|	NRG1

AFF4	|------	miR-142-5p	------|	NSG1

AFF4	|------	miR-142-5p	------|	OTUD3

AFF4	|------	miR-142-5p	------|	PAK3

AFF4	|------	miR-142-5p	------|	PAPPA

AFF4	|------	miR-142-5p	------|	PBRM1

AFF4	|------	miR-142-5p	------|	PDGFRA

AFF4	|------	miR-142-5p	------|	PELO

AFF4	|------	miR-142-5p	------|	PHLDA1

AFF4	|------	miR-142-5p	------|	PLD1

AFF4	|------	miR-142-5p	------|	PPL

AFF4	|------	miR-142-5p	------|	PROX1

AFF4	|------	miR-142-5p	------|	PRRG4

AFF4	|------	miR-142-5p	------|	PUM1

AFF4	|------	miR-142-5p	------|	QSER1

AFF4	|------	miR-142-5p	------|	RBBP6

AFF4	|------	miR-142-5p	------|	RBMS1

AFF4	|------	miR-142-5p	------|	RERE

AFF4	|------	miR-142-5p	------|	RGMA

AFF4	|------	miR-142-5p	------|	RNF150

AFF4	|------	miR-142-5p	------|	RNF217

AFF4	|------	miR-142-5p	------|	ROCK1

AFF4	|------	miR-142-5p	------|	RRAGD

AFF4	|------	miR-142-5p	------|	SGCE

AFF4	|------	miR-142-5p	------|	SHANK2

AFF4	|------	miR-142-5p	------|	SIKE1

AFF4	|------	miR-142-5p	------|	SLC25A15

AFF4	|------	miR-142-5p	------|	SLC26A3

AFF4	|------	miR-142-5p	------|	SNAP29

AFF4	|------	miR-142-5p	------|	SNTB2

AFF4	|------	miR-142-5p	------|	SORBS1

AFF4	|------	miR-142-5p	------|	SPCS3

AFF4	|------	miR-142-5p	------|	SPTBN1

AFF4	|------	miR-142-5p	------|	SRGAP1

AFF4	|------	miR-142-5p	------|	SRI

AFF4	|------	miR-142-5p	------|	ST8SIA2

AFF4	|------	miR-142-5p	------|	STON2

AFF4	|------	miR-142-5p	------|	SUB1

AFF4	|------	miR-142-5p	------|	TCF7L1

AFF4	|------	miR-142-5p	------|	TFAP2B

AFF4	|------	miR-142-5p	------|	TGFB2

AFF4	|------	miR-142-5p	------|	TIAL1

AFF4	|------	miR-142-5p	------|	TLE4

AFF4	|------	miR-142-5p	------|	TMEM54

AFF4	|------	miR-142-5p	------|	TMF1

AFF4	|------	miR-142-5p	------|	TNS1

AFF4	|------	miR-142-5p	------|	TRPC4

AFF4	|------	miR-142-5p	------|	TSPAN14

AFF4	|------	miR-142-5p	------|	TSPAN3

AFF4	|------	miR-142-5p	------|	UBE3C

AFF4	|------	miR-142-5p	------|	ZADH2

AFF4	|------	miR-142-5p	------|	ZBTB20

AFF4	|------	miR-142-5p	------|	ZBTB47

AFF4	|------	miR-142-5p	------|	ZCCHC11

AFF4	|------	miR-142-5p	------|	ZCCHC2

AFF4	|------	miR-142-5p	------|	ZNF462

AFF4	|------	miR-142-5p	------|	ZNF777

EZH1	|------	miR-142-5p	------|	ADAMTS1

EZH1	|------	miR-142-5p	------|	ADAMTS5

EZH1	|------	miR-142-5p	------|	ALCAM

EZH1	|------	miR-142-5p	------|	ARL6

EZH1	|------	miR-142-5p	------|	ARMCX4

EZH1	|------	miR-142-5p	------|	ARSJ

EZH1	|------	miR-142-5p	------|	ASXL2

EZH1	|------	miR-142-5p	------|	ATL3

EZH1	|------	miR-142-5p	------|	ATP1B1

EZH1	|------	miR-142-5p	------|	BBX

EZH1	|------	miR-142-5p	------|	BHLHE41

EZH1	|------	miR-142-5p	------|	BMPR1A

EZH1	|------	miR-142-5p	------|	BTG1

EZH1	|------	miR-142-5p	------|	BTG3

EZH1	|------	miR-142-5p	------|	CA8

EZH1	|------	miR-142-5p	------|	CADM1

EZH1	|------	miR-142-5p	------|	CADM2

EZH1	|------	miR-142-5p	------|	CALN1

EZH1	|------	miR-142-5p	------|	CASD1

EZH1	|------	miR-142-5p	------|	CCDC171

EZH1	|------	miR-142-5p	------|	CDC42EP3

EZH1	|------	miR-142-5p	------|	CHD9

EZH1	|------	miR-142-5p	------|	CRY2

EZH1	|------	miR-142-5p	------|	CXCL14

EZH1	|------	miR-142-5p	------|	CYP26B1

EZH1	|------	miR-142-5p	------|	DIAPH2

EZH1	|------	miR-142-5p	------|	DMD

EZH1	|------	miR-142-5p	------|	DSG4

EZH1	|------	miR-142-5p	------|	EFCAB14

EZH1	|------	miR-142-5p	------|	EFNA5

EZH1	|------	miR-142-5p	------|	EGR3

EZH1	|------	miR-142-5p	------|	FAM126A

EZH1	|------	miR-142-5p	------|	FAM171B

EZH1	|------	miR-142-5p	------|	FANCM

EZH1	|------	miR-142-5p	------|	FBXO21

EZH1	|------	miR-142-5p	------|	FBXO3

EZH1	|------	miR-142-5p	------|	FGD4

EZH1	|------	miR-142-5p	------|	FRZB

EZH1	|------	miR-142-5p	------|	FZD7

EZH1	|------	miR-142-5p	------|	HAS3

EZH1	|------	miR-142-5p	------|	HIPK2

EZH1	|------	miR-142-5p	------|	HMGCLL1

EZH1	|------	miR-142-5p	------|	IFFO2

EZH1	|------	miR-142-5p	------|	ITGB8

EZH1	|------	miR-142-5p	------|	KIT

EZH1	|------	miR-142-5p	------|	KMT2D

EZH1	|------	miR-142-5p	------|	LPP

EZH1	|------	miR-142-5p	------|	MEX3C

EZH1	|------	miR-142-5p	------|	MPPED2

EZH1	|------	miR-142-5p	------|	MYF5

EZH1	|------	miR-142-5p	------|	MYO9A

EZH1	|------	miR-142-5p	------|	NEDD4L

EZH1	|------	miR-142-5p	------|	NRG1

EZH1	|------	miR-142-5p	------|	NSG1

EZH1	|------	miR-142-5p	------|	OTUD3

EZH1	|------	miR-142-5p	------|	PAK3

EZH1	|------	miR-142-5p	------|	PAPPA

EZH1	|------	miR-142-5p	------|	PBRM1

EZH1	|------	miR-142-5p	------|	PDGFRA

EZH1	|------	miR-142-5p	------|	PELO

EZH1	|------	miR-142-5p	------|	PHLDA1

EZH1	|------	miR-142-5p	------|	PLD1

EZH1	|------	miR-142-5p	------|	PPL

EZH1	|------	miR-142-5p	------|	PROX1

EZH1	|------	miR-142-5p	------|	PRRG4

EZH1	|------	miR-142-5p	------|	PUM1

EZH1	|------	miR-142-5p	------|	QSER1

EZH1	|------	miR-142-5p	------|	RBBP6

EZH1	|------	miR-142-5p	------|	RBMS1

EZH1	|------	miR-142-5p	------|	RERE

EZH1	|------	miR-142-5p	------|	RGMA

EZH1	|------	miR-142-5p	------|	RNF150

EZH1	|------	miR-142-5p	------|	RNF217

EZH1	|------	miR-142-5p	------|	ROCK1

EZH1	|------	miR-142-5p	------|	RRAGD

EZH1	|------	miR-142-5p	------|	SGCE

EZH1	|------	miR-142-5p	------|	SHANK2

EZH1	|------	miR-142-5p	------|	SIKE1

EZH1	|------	miR-142-5p	------|	SLC25A15

EZH1	|------	miR-142-5p	------|	SLC26A3

EZH1	|------	miR-142-5p	------|	SNAP29

EZH1	|------	miR-142-5p	------|	SNTB2

EZH1	|------	miR-142-5p	------|	SORBS1

EZH1	|------	miR-142-5p	------|	SPCS3

EZH1	|------	miR-142-5p	------|	SPTBN1

EZH1	|------	miR-142-5p	------|	SRGAP1

EZH1	|------	miR-142-5p	------|	SRI

EZH1	|------	miR-142-5p	------|	ST8SIA2

EZH1	|------	miR-142-5p	------|	STON2

EZH1	|------	miR-142-5p	------|	SUB1

EZH1	|------	miR-142-5p	------|	TCF7L1

EZH1	|------	miR-142-5p	------|	TFAP2B

EZH1	|------	miR-142-5p	------|	TGFB2

EZH1	|------	miR-142-5p	------|	TIAL1

EZH1	|------	miR-142-5p	------|	TLE4

EZH1	|------	miR-142-5p	------|	TMEM54

