mRNA	log(FC)
HOXD10	-0.7425981
PIP	-2.8886429
CLMN	-1.5486738
JADE1	-1.5635627
	-1.0208346
	-1.4999749
KCNE1	-2.3327014
LOXL3	1.3046549
EPSTI1	1.9141287
	0.9847192
SH3BGR	-1.964397
SLC16A5	-1.5229739
SLC6A17	0.9442242
CD59	-1.4213407
ZNF777	1.246209
GSR	2.0739576
MSR1	1.2756108
BUB1B	1.5592281
CILP	1.4552464
YTHDF3	0.7027027
	0.8182218
	0.9720135
TRIM74///TRIM73	-1.0812927
DLG1	1.4731383
GPR143	1.6729369
THY1	1.1110126
DKFZp564H213	1.6046631
IRX3	-1.057579
STK4	1.0260233
POLE2	1.5122152
ARHGAP26	-1.5624327
MPP7	-1.6369911
CA2	-2.3161646
	-1.7343549
APLP2	-1.1722477
FBXO16///ZNF395	-1.430806
LOC389906	-1.8505358
CDCP1	-1.2659144
	-1.2011715
TMEM158	1.2308263
KY	-1.5577207
UBE4B	-1.5942657
C1orf226	-1.354958
SIX2	1.0642503
HORMAD2	1.0089601
KLHDC7A	-2.5641044
DNAJC1	1.1867388
AQP2	0.8014819
GXYLT2	1.5766821
SRGAP1	-1.2735599
CMTM7	-0.9650757
LOC145694	-1.1491181
LINC01013	0.8792128
GUCY1A3	-1.0764459
NPL	2.1681843
ALCAM	-1.4640327
CROT	-0.8689044
SGSM2	-1.6440347
MFAP2	1.7959953
ABCB4	1.6754195
SEC14L2	-1.3105953
RNF126	1.120477
SNRPD1	1.0583434
NXPE3	1.5613757
KLHL21	-1.4145106
POLI	-1.3572054
LOC101927196	-1.5097566
OBSL1	-1.3698558
ALDH7A1	-1.1153538
DNAAF1	-1.7457839
CHEK1	-1.9169258
MRPS30	1.9045219
NR1I2	1.2698305
MIR6883///PER1	-1.0872095
DPEP1	1.4519881
DYNC2LI1	2.392717
SIRT3	-1.413734
SORBS2	-1.961439
TOP2A	3.3218141
TRAC	1.4886931
ANKRD40	-1.1310122
SFRP4	2.0658096
DUOX1	-1.7144748
YAP1	-1.0755886
MBTPS1	-0.9959884
CD6	0.9526616
TYMS	1.4852266
ADD2	1.288603
VTCN1	-2.2618228
NUP62CL	-1.5122044
LRP5	-1.0353144
SMC4	1.1220592
CFTR	-1.7605734
CRIPT	-0.9186823
POLR2K	0.9247138
ZNF204P	-2.372422
WIPF1	1.7003849
LOC441454	-1.9059489
RBMS2	1.3074254
GALNT2	2.0896738
TENM2	-2.0357238
CD59	-0.8667005
SIKE1	-1.454083
COL27A1	-1.5012563
LOC101928386	-1.4088847
ADHFE1	-1.0535539
FMNL3	1.0830883
RRAS2	-2.2443334
LOC101927151	-1.2034232
ZBTB47	-0.7446056
ITGA11	1.3183608
COPG2IT1	-1.2551982
QSOX1	-1.8429784
SULF1	1.9145245
GNA13	2.2920984
LINC01492	-1.5477251
SLC8A1	1.9948954
ADAM12	2.5391919
AQP4	-1.9718953
SLC5A1	-1.4197635
PBX2	0.8844392
ITGB1BP1	-1.6760903
BIN1	-1.1594545
DMKN	-1.9048342
TUSC8	-1.3882187
CNDP2	-1.6682338
CYP2J2	-1.7589432
ZNF185	-0.7753055
ALOX12-AS1	1.8059679
LINC00165	0.7855753
DDX39A	0.9318077
IGF2BP2	-1.1243976
LINC01210	0.6000772
SPRED1	-1.3223169
KLF9	1.1397801
MYH11	-1.6631785
TGM2	1.4482728
SUGP2	-0.7059669
DHX58	1.5543951
COL4A1	2.5438928
LOC101927133	-1.0627067
WDR61	1.2020254
LINC01330	-1.1520662
SNRPC	0.8128792
KAT8	0.9105211
CCDC40	-1.6615357
UVRAG	-1.401514
LINC00661	0.8197937
VPS37C	-0.8289199
ZNF585A	-1.403928
FLII	-1.2167697
JUN	-0.9384203
CDH2	-0.8515637
WDR26	1.9429643
TFEC	1.4206407
ABCA4	-1.7479101
GIT2	-1.2873441
CCNE1	1.4740601
EFNA5	-0.6856335
VPS35	-0.6002738
OBFC1	1.5415249
SCARA3	-1.4452999
PLXNC1	1.7763016
DUOX1	0.8249677
EVA1C	-1.3581131
PLA2G4B///JMJD7-PLA2G4B	-0.8843667
MUC6	-2.0572229
POLR2K	0.8596952
BAG4	-1.9375645
ERICH1	-1.2452926
NAT6	-1.1399093
TAS2R7	-0.9433102
FBXO21	-0.9285719
AIG1	-1.5235954
FBXO3	-1.2406808
NFIB	-2.0539485
SGCE	-1.2476193
PYROXD2	-1.1270814
CDCA7L	-1.190612
FASTK	-1.5566787
HSDL2	-1.467119
CIRBP	-0.7989666
USP47	-1.7934332
CGREF1	1.5693691
CAT	-1.0253787
CASP10	1.1181462
SMOC2	0.7409896
BBIP1	1.5400764
SLC37A2	1.0808145
LOC101929683	-0.73835
PFKFB2	1.6779002
LOXL2	-0.8022349
TBL1X	1.6052761
KCCAT333	1.1588813
SPC25	1.9327494
LOC101927159	-0.8534966
TSPAN14	-0.8620725
MIA3	1.3119741
EPHA5	0.9699114
RAI14	-1.4526505
PPP1R1B	-1.431141
TOMM5	0.743347
ATP6V1C1	1.1596972
MFSD4A	-1.6802965
RAP2C	1.6609657
CLEC2B	2.3583915
TMEM220	-1.0118812
LPIN2	1.0495578
KMT2D	-1.0933119
PNISR	-1.2766586
TXNIP	-1.0042091
CDH3	-2.180984
HSPE1	0.6506592
ANPEP	-1.4237579
FAM47A	-1.3700184
DNAJB8-AS1	1.0599345
HYI	-0.8163018
DDX60L	1.3451222
NLGN4X	-1.6041414
MKNK1	-1.8885531
FAT1	-1.0727156
ALG10	1.5736943
IL18RAP	1.4223158
PDE1C	-2.6698232
PTCD2	1.5095187
THYN1	-1.2332561
PNP	1.1859155
MAPT-AS1	-1.030806
SFXN5	-1.4115579
HIST1H4PS1	-1.2878248
AP4S1	0.8699325
NR6A1	-1.0358398
DR1	1.1577704
BPIFA1	0.7793512
ARSD	-1.0163431
ELOVL5	-0.5340493
TRIM3	1.2525842
NOTCH2	-1.1385983
CDH24	0.7439542
TEX26-AS1	0.9566764
GAD2	-1.3986831
BRWD3	0.9279519
HLF	-1.8212028
TDRP	-1.2298779
CCDC120	-1.3304975
CRY2	-1.2679768
BOC	-1.1534781
PRC1	1.9972116
PARP3	-0.8338788
GPRC5A	1.7888562
ASAP1	1.0826642
KIAA1524	0.9629073
ADGRA3	-2.1422262
INTS10	1.9868169
ALDH3B1	0.8166661
PCDH10	-1.2762134
SLAMF9	-0.7925638
ZWINT	1.0985941
LYPD6	-1.7963152
LOC100996325	-1.1438128
TRIM14	1.1205201
ZNF229	-1.6951702
HRES1	0.8587948
TUBB2B	-2.3252442
KANK4	-1.9730242
URB1	0.7998062
ZNF529-AS1	-1.3267668
ASPH	1.2432576
DSC1	-1.1150474
RNF144A-AS1	0.9539002
VWA5A	-1.1798963
CELF2	1.8884327
ITGAM	0.8151788
GNB5	-1.144924
PDK3	-0.6303973
ADAMTS12	0.6351865
RASSF8-AS1	-2.1006956
TAS2R1	0.7594777
PCSK4	0.7789777
FAM220A	1.5262013
CADPS	1.394917
LINC00951	-1.0048889
H2AFZ	0.627913
IQCE	-2.0146039
KRTDAP	-1.1688903
PAX1	-1.0331404
FITM2	0.6860681
TGFBR3	-1.0646332
DLG5	-0.9174215
GNRH2	0.8246022
SRXN1	0.8455547
PCDHB9	-1.0019832
PRR5L	1.5180625
LTF	-2.3951268
OAS2	0.8301552
BCL2	-1.1134889
STXBP6	0.5700037
NFYA	1.3627017
SP6	-0.6892267
MRPL9	0.5204014
ATP1B1	-1.1098511
MYD88	0.6886095
COL25A1	1.3744066
PLCH1	1.3242158
CARD10	0.5577157
GP5	1.0292173
RAB2A	1.7065344
LOC285095	-1.3730673
HTATIP2	0.8031295
SAMD1	1.1593141
SPATA19	-1.0361876
FANCM	-1.462806
UBAP2L	1.0062925
DCUN1D1	-1.4700714
NAA40	-0.7605748
PRPF18	0.9510326
ITIH4	-1.541982
NES	-1.1778355
NCBP1	-1.4399161
LINC01120	0.9121289
ZNF432	0.8337059
ROCK1	-0.8847442
OSBPL3	1.2931284
BAZ2B	-0.8050454
BIRC5	1.9168645
TMEM167A	0.720033
NUMA1	-1.3871602
ANGPTL4	-1.4069681
DKK3	-1.3341048
PIK3R1	-1.0440829
REG1CP	0.7459368
TMEM132B	-0.9365696
IMPAD1	0.8942669
LOC101928269///LOC100506403///RUNX1	-0.9431813
ST6GALNAC1	2.1624218
TROVE2	0.9582145
CUL4B	1.5375962
EIF1	-1.0733447
TSPYL1	-1.8451961
ZDHHC9	0.9056456
MINCR	1.1527215
PUM1	-1.2095005
LINC00563	0.6013198
CLTA	0.7202408
SDCBP2-AS1	-1.3791012
	0.7159737
	0.8589619
